date,startup,vertical,subvertical,city,investors,round,amount,year,month
2016-01-07,MakeMyTrip,Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,Ctrip.com International Ltd,Private Equity,180000000,2016,1
2016-01-08,Melorra,ECommerce,Online/ Mobile Jewellery Retailer,Bangalore,Lightbox Ventures,Private Equity,5000000,2016,1
2016-01-08,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000,2016,1
2016-01-08,Gyaanzone,Education,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,45000,2016,1
2016-01-08,FlatFurnish,Consumer Internet,Online Furnishing Rental Platform,Gurgaon,Arun Chandra Mohan,Seed Funding,0,2016,1
2016-01-09,Lumiere,ECommerce,Organic Food eTailer,Bangalore,Undisclosed investors,Private Equity,0,2016,1
2016-01-11,Koovs,ECommerce,Online Fashion Apparel Retailer,Gurgaon,"Nahata Family, Waheed Alli",Private Equity,5400000,2016,1
2016-01-11,Wishup,Consumer Internet,Mobile app based Concierge Service,New Delhi,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,0,2016,1
2016-01-11,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000,2016,1
2016-01-11,SavvyMob,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bangalore,"TV Mohandas Pai, LetsVenture",Seed Funding,1000000,2016,1
2016-01-11,Fashionablyin,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,Ranjan Mahtani,Seed Funding,0,2016,1
2016-01-12,Shopclues,ECommerce,ECommerce Marketplace,Gurgaon,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000,2016,1
2016-01-12,Hike Messenger,Consumer Internet,P2P Messaging Service,New Delhi,"Matt Mullenweg, Adam D\\xe2\\x80\\x99Angelo, Aditya Agarwal,\\xc2\\xa0 Ruchi Sanghvi & Others",Private Equity,0,2016,1
2016-01-12,iBus Networks,Technology,Next Generation in-building connectivity,Bangalore,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000,2016,1
2016-01-12,Happy2Refer,Consumer Internet,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,250000,2016,1
2016-01-13,CarTrade,Consumer Internet,Auto Classifieds Portal,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,145000000,2016,1
2016-01-13,Rentomo,Consumer Internet,peer-to-peer renting Marketplace,Bangalore,Shiva Ashok & Other unnamed investors,Seed Funding,100000,2016,1
2016-01-13,Roder,Consumer Internet,inter-city cab aggregator,New Delhi,Unicorn India Ventures,Seed Funding,240000,2016,1
2016-01-13,Bucker,Consumer Internet,Food Ordering Mobile App,Hyderabad,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,0,2016,1
2016-01-13,Care24,Healthcare,Professional Health Services Platform,Mumbai,"SAIF Partners, India Quotient",Private Equity,4000000,2016,1
2016-01-13,Obino,Healthcare,Weigh Loss Coaching,Mumbai,RoundGlass Partners,Private Equity,0,2016,1
2016-01-14,Snapshopr,Consumer Internet,Visual Search & Image Recognition Platform,Bangalore,Amod Malviya,Seed Funding,0,2016,1
2016-01-14,Buildkar,ECommerce,Construction Material Marketplace,Bangalore,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,0,2016,1
2016-01-14,Orahi,Consumer Internet,Carpooling Mobile App,Gurgaon,Indian Angel Network,Seed Funding,520000,2016,1
2016-01-14,Zapr,Technology,TV to Mobile audience Platform,Gurgaon,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,0,2016,1
2016-01-15,Remidio,Healthcare,Healthcare Product Manufacturer,Bangalore,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,0,2016,1
2016-01-15,Fitso,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,200000,2016,1
